Name,Volumes,Score
Berserk,on going,9.47
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,24 vols,9.30
Vagabond,37 vols,9.24
One Piece,on going,9.22
Monster,18 vols,9.15
Slam Dunk,31 vols,9.08
Vinland Saga,on going,9.05
Fullmetal Alchemist,27 vols,9.03
Grand Blue,on going,9.03
Oyasumi Punpun,13 vols,9.02
Kingdom,on going,9.00
Houseki no Kuni,on going,8.96
20th Century Boys,22 vols,8.95
Ashita no Joe,20 vols,8.94
Real,on going,8.93
Monogatari Series: First Season,6 vols,8.93
Mikkakan no Koufuku,1 vols,8.93
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,28 vols,8.92
Monogatari Series: Second Season,6 vols,8.92
GTO,25 vols,8.89
Yotsuba to!,on going,8.88
3-gatsu no Lion,on going,8.88
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,14 vols,8.88
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,on going,8.87
Monogatari Series: Final Season,6 vols,8.86
Koe no Katachi,7 vols,8.86
Haikyuu!!,45 vols,8.85
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,9 vols,8.84
Kaze no Tani no Nausicaä,7 vols,8.83
Ookami to Koushinryou,on going,8.83
Akatsuki no Yona,on going,8.82
86,on going,8.81
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",3 vols,8.79
Nana,21 vols,8.79
Mushoku Tensei: Isekai Ittara Honki Dasu,26 vols,8.79
Re:Zero kara Hajimeru Isekai Seikatsu,on going,8.79
Uchuu Kyoudai,on going,8.78
Made in Abyss,on going,8.77
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,18 vols,8.77
One Punch-Man,on going,8.75
Chainsaw Man,on going,8.75
Hunter x Hunter,on going,8.73
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,on going,8.73
Hajime no Ippo,on going,8.72
Mushishi,10 vols,8.72
Kokou no Hito,17 vols,8.72
Utsuro no Hako to Zero no Maria,7 vols,8.71
Shoujo Shuumatsu Ryokou,6 vols,8.70
Death Note,12 vols,8.70
Sayonara Eri,1 vols,8.70
